name,current_color,price,sale_price,badge,image_url,product_url,colors_available,sizes_available,rating,review_count,scraped_at
Accolade Sweatpant - Black,,$128,,,https://cdn.shopify.com/s/files/1/2185/2813/files/W5942RG_01_b1_s1_a1_1_m54_7c8e2f10-6333-45ba-aaf5-7d6fe472cc9b_320x.jpg?v=1714581809,https://www.aloyoga.com/products/w5942rg-accolade-sweatpant-black,"Black, 7, 7, Black, Navy, Bone, Athletic Heather Grey, Anthracite, Ivory, White",,,,2025-09-06 14:02:51
Airbrush Streamlined Dress - Black/White,,$128,,,https://cdn.shopify.com/s/files/1/2185/2813/files/W8278R_0100_b1_s1_a3_1_m224_320x.jpg?v=1731647503,https://www.aloyoga.com/products/w8278r-airbrush-streamlined-dress-black-white,"Black/White, Black/White, Spearmint/White, Sweet Pink/White, White/White, Navy/Ivory",,,,2025-09-06 14:02:51
Performance Off-Duty Cap - Black/Black,,$68,,,https://cdn.shopify.com/s/files/1/2185/2813/files/A0543U_0101_b1_s1_a1_320x.jpg?v=1747806926,https://www.aloyoga.com/products/a0543u-performance-off-duty-cap-black-black,"Black/Black, Black/Black, Lunar Grey, Espresso/Espresso, Navy/Navy, White/White",,,,2025-09-06 14:02:52
Cropped Accolade Crewneck - Black,,$118,,,https://cdn.shopify.com/s/files/1/2185/2813/files/W3924RG_01_b2_s1_a1_m54_26610027-7d26-48fc-b84c-c24a1d89fab3_320x.jpg?v=1730503527,https://www.aloyoga.com/products/w3924rg-cropped-accolade-crewneck-black,"Black, Black, Navy, Ivory, Lunar Grey, White, Pink Wild Rose, Candy Red, Spearmint",,,,2025-09-06 14:02:53
Alosoft High-Waist 7/8 Highlight Legging - Black,,$98,,,https://cdn.shopify.com/s/files/1/2185/2813/files/W51104R_01_b1_s1_a1_1_m91_320x.jpg?v=1736468997,https://www.aloyoga.com/products/w51104r-alosoft-high-waist-7-8-highlight-legging-black,"Black, Black, Dark Pink Quartz Heather, Spearmint Heather, Athletic Heather Grey, Bold Red, Oatmeal Heather",,,,2025-09-06 14:02:53
Ribbed En Pointe Tank - Black,,$68,,,https://cdn.shopify.com/s/files/1/2185/2813/files/W9777R_01_b1_s1_a1_1_m18_320x.jpg?v=1734054801,https://www.aloyoga.com/products/w9777r-ribbed-en-pointe-tank-black,"Black, Black, Ivory, Oatmeal Heather, Candy Red",,,,2025-09-06 14:02:54
Accolade Short - Black,,$68,,,https://cdn.shopify.com/s/files/1/2185/2813/files/W6472RG_01_b2_s1_a1_1_m143_1b2bbe7f-a594-4baf-8215-dbc9a2fe3d33_320x.jpg?v=1747166295,https://www.aloyoga.com/products/w6472rg-accolade-short-black,"Black, 4, 4, Black, Athletic Heather Grey, Ivory, Navy, Pink Wild Rose, Lunar Grey, White",,,,2025-09-06 14:02:54
Goddess Ribbed Go-To Tank - White,,$58,,,https://cdn.shopify.com/s/files/1/2185/2813/files/W2737R_00_b2_s1_a1_1_m186_320x.jpg?v=1743131367,https://www.aloyoga.com/products/w2737r-goddess-ribbed-go-to-tank-white,"White, White, Espresso, Black, Green Olive",,,,2025-09-06 14:02:55
Accolade Full Zip Hoodie - Athletic Heather Grey,,$138,,,https://cdn.shopify.com/s/files/1/2185/2813/files/U3041RG_02910_b2_s1_a1_1_m186_320x.jpg?v=1743130837,https://www.aloyoga.com/products/u3041rg-accolade-full-zip-hoodie-athletic-heather-grey,"Athletic Heather Grey, Athletic Heather Grey, Black, Macadamia",,,,2025-09-06 14:02:56
Unisex Half-Crew Throwback Sock - White/Black,,$32,,,https://cdn.shopify.com/s/files/1/2185/2813/products/A0480U_0001_b1_a1_320x.jpg?v=1669748933,https://www.aloyoga.com/products/a0480u-unisex-half-crew-throwback-sock-white-black,"White/Black, 14, 14, White/Black, White/Titanium, Bone/White, Black/White, Athletic Heather Grey/White, White/Navy, Gravel/White",,,,2025-09-06 14:02:56
Airlift Suit Up Bra - Black/White,,$78,,,https://cdn.shopify.com/s/files/1/2185/2813/files/W9360R_0100_b2_s1_a1_1_m209_ad7e5bd6-7cab-4959-824d-e5bf45ecf88e_320x.jpg?v=1738191611,https://www.aloyoga.com/products/w9676r-airlift-suit-up-bra-black-white,"Black/White, Black/White, Navy/Navy, Espresso, Macadamia/White, Spruce Green/White",,,,2025-09-06 14:02:57
Airlift High-Waist Suit Up Legging - Black/White,,$138,,,https://cdn.shopify.com/s/files/1/2185/2813/files/W5952R_0100_b2_s1_a1_1_m209_2603272c-365e-459f-8eca-98586b83fc92_320x.jpg?v=1738191573,https://www.aloyoga.com/products/w51309r-airlift-high-waist-suit-up-legging-black-white,"Black/White, Black/White, Navy/Navy, Espresso, Anthracite/Black",,,,2025-09-06 14:02:58
Seamless Ribbed Favorite Bra Tank - Black,,$78,,,https://cdn.shopify.com/s/files/1/2185/2813/files/W9616R_01_b2_s1_a2_m238_320x.jpg?v=1752183001,https://www.aloyoga.com/products/w9616r-seamless-ribbed-favorite-bra-tank-black,"Black, Black, Navy, White, Charcoal Green, Spruce Green",,,,2025-09-06 14:02:58
"5"" Seamless Ribbed Favorite Short - Black",,$68,,,https://cdn.shopify.com/s/files/1/2185/2813/files/W6290R_01_b2_s1_a4_m238_320x.jpg?v=1751922493,https://www.aloyoga.com/products/w6290r-seamless-ribbed-forever-short-black,"Black, Black, Navy",,,,2025-09-06 14:02:59
Alosoft Crop Finesse Short Sleeve - Navy,,$68,,,https://cdn.shopify.com/s/files/1/2185/2813/files/W1406R_03842_b2_s1_a1_1_m241_320x.jpg?v=1745621081,https://www.aloyoga.com/products/w1406r-alosoft-crop-finesse-short-sleeve-navy,"Navy, Navy, Black, White, Cool Grey Wash, Sweet Pink, Oatmeal Heather",,,,2025-09-06 14:02:59
Match Point Short - Navy,,$68,,,https://cdn.shopify.com/s/files/1/2185/2813/files/W6334R_03842_b2_s1_a1_1_m218_320x.jpg?v=1752691748,https://www.aloyoga.com/products/w6334r-match-point-short-navy,"Navy, Navy, Black, Green Olive, Lunar Grey, Pink Wild Rose",,,,2025-09-06 14:03:00
ALO Softsculpt Precision Full Length Bra Tank - Green Olive,,$88,,,https://cdn.shopify.com/s/files/1/2185/2813/files/W9862R_06464_b2_s1_a1_m190_320x.jpg?v=1755866646,https://www.aloyoga.com/products/w9862r-alo-softsculpt-precision-full-length-bra-tank-green-olive,"Green Olive, Green Olive, Black",,,,2025-09-06 14:03:01
