product_id,name,price,currency,variant,brand,category,available_colors,url,image_url
1-1100-011490-0014,2-Pack Bangle Bracelet,39.95,,Silver,,,"Silver, Gold",https://www.na-kd.com/en/products/2-pack-bangle-bracelet-silver-1100-011490-0014,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/2-pack_silver_bangles-1100-011490-0014_4427-copy.jpg?ref=84877CFB70"
1-1014-001528-0001,Gathered Maxi Cotton Skirt,59.95,,White,,,White,https://www.na-kd.com/en/products/gathered-maxi-cotton-skirt-white-1014-001528-0001,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/josefinehj1014-001528-0001_1_social.jpg?ref=0D335A3835"
1-1100-011469-0212,Short Faux Leather Jacket,99.95,,Burgundy,,,"Burgundy, Black, Brown",https://www.na-kd.com/en/products/short-pu-jacket-burgundy-1100-011469-0212,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/ericakvam_1100-011469-0212_1_social.jpg?ref=C116942197"
1-1100-012408-0002,Soft Line Twisted Top,45.95,,Black,,,"Black, Offwhite, Brown, Dark Green",https://www.na-kd.com/en/products/soft-line-twisted-top-black-1100-012408-0002,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/soft_line_twisted_top-1100-012408-0002_0053_studio.jpg?ref=D2F27197FB"
1-1594-000771-0366,Oversized Blazer,95.95,,Dark Grey,,,"Dark Grey, Brown, Beige, Grey",https://www.na-kd.com/en/products/oversized-blazer-dark-grey-1594-000771-0366,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/oversized_blazer_1594-000771-0366_curated.jpg?ref=FA3D881973"
1-1100-008361-0002,Slingback Pumps,49.95,,Black,,,"Black, Burgundy, Dark Red, Brown, Red, White, Brown",https://www.na-kd.com/en/products/slingback-pumps-black-1100-008361-0002,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/sling_back_pups-1100-008361-0002_0055.jpg?ref=D5E4694EF8"
1-1100-012034-4416,Maxi Checked Skirt,75.95,,Checkered,,,Checkered,https://www.na-kd.com/en/products/maxi-checked-skirt-checkered-1100-012034-4416,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/maxi_checked_skirt-1100-012034-4416_0624_campaign.jpg?ref=AC0CA505B9"
1-1100-012077-0212,Gathered Clutch,39.95,,Burgundy,Shpresa x NA-KD,,Burgundy,https://www.na-kd.com/en/products/gathered-clutch-burgundy-1100-012077-0212,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/gathered_clutch_1100-012077-0212_campaign.jpg?ref=F2A3752F3A"
1-1100-011830-0005,Knitted Scoop Neck Sweater,49.95,,Beige,,,"Beige, Burgundy",https://www.na-kd.com/en/products/knitted-scoop-neck-sweater-beige-1100-011830-0005,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/knitted_scoop_neck_sweater_1100-011830-0005_curated.jpg?ref=FFB8E7B5A5"
1-1100-010658-0366,Double faced wool blend coat,199.95,,Dark Grey,,,"Dark Grey, Beige",https://www.na-kd.com/en/products/wool-blend-coat-dark-grey-1100-010658-0366,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/rutaenroute_1100-010658-0366_1_social.jpeg?ref=B0A9AE1714"
1-1100-011615-0001,Puff Sleeve Volume Mini Dress,59.95,,White,,,White,https://www.na-kd.com/en/products/puff-sleeve-volume-mini-dress-white-1100-011615-0001,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/puff_sleeve_volume_mini_dress_1100-011615-0001_curated.jpg?ref=D1D58AD231"
1-1100-012407-0017,Soft Line Long Sleeve Draped Top,39.95,,Brown,,,"Pink, Black, Offwhite",https://www.na-kd.com/en/products/soft-line-long-sleeve-draped-top-brown-1100-012407-0017,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/soft_line_long_sleeve_draped_top-1100-012407-0017_0597_campaign.jpg?ref=2B626B4219"
1-1100-009828-0038,Straight High Waist Jeans,59.95,,Dark Blue,,,"Dark Blue, White, Black, Dark Blue, Blue, Grey, Mid Blue",https://www.na-kd.com/en/products/straight-high-waist-jeans-dark-blue-1100-009828-0038,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/straight_high_waist_jeans_dark_blue-1100-009828-003819318.jpg?ref=76A636D9D5"
1-1794-000077-0005,Linen Blend Pleated Midi Skirt,75.95,,Beige,Lydia Tomlinson x NA-KD,,Beige,https://www.na-kd.com/en/products/linen-blend-pleated-midi-skirt-beige-1794-000077-0005,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/linen_blend_pleated_midi_skirt_1794-000077-0005.jpg?ref=A2BD34525A"
1-1100-010655-0002,Double Buttoned Short Coat,99.95,,Black,,,"Black, Grey",https://www.na-kd.com/en/products/double-buttoned-short-coat-black-1100-010655-0002,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/double_buttoned_short_coat-1100-010655-0002_2634-copy.jpg?ref=63C9E60135"
1-1100-008131-0140,Oversized Trenchcoat,129.95,,Light Beige,,,"Light Beige, Black, Brown, Beige",https://www.na-kd.com/en/products/oversized-trenchcoat-light-beige-1100-008131-0140,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/oversized_trenchcoat-1100-008131-0140_3069-copy.jpg?ref=5980FB6B15"
1-1858-000009-0212,Faux Suede Boxy Jacket,99.95,,Burgundy,Emmanuelle Koffi x NA-KD,,Burgundy,https://www.na-kd.com/en/products/faux-suede-boxy-jacket-burgundy-1858-000009-0212,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/faux_suede_boxy_jacket_1858-000009-0212_campaign.jpg?ref=9080DCD504"
1-1100-012096-0260,Knitted Wool Sweater,85.95,,Offwhite,,,"Offwhite, Black, Dark Grey, Light Taupe, Purple",https://www.na-kd.com/en/products/knitted-wool-sweater-offwhite-1100-012096-0260,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/knitted_wool_sweater_1100-012096-0260_3.jpg?ref=33B42CC72B"
1-1100-007181-0366,Straight Mid Waist Jeans,59.95,,Dark Grey,,,"Dark Grey, Light Blue, Dark Blue, Mid Blue, White, Light Blue, Black, Dark Blue",https://www.na-kd.com/en/products/straight-mid-waist-jeans-dark-grey-1100-007181-0366,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/immegii_1100-007181-0366_social.jpg?ref=28D3226272"
1-1100-010126-0017,Structured Long Sleeve Top,49.95,,Brown,,,"Brown, Black",https://www.na-kd.com/en/products/structured-long-sleeve-top-brown-1100-010126-0017,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/structured_long_sleeve_top_1100-010126-0017_0051.jpg?ref=2148464CAE"
1-1100-012095-0008,Knitted Wool Short Sleeve Top,59.95,,Grey,,,"Grey, Dark Beige, Black",https://www.na-kd.com/en/products/knitted-wool-short-sleeve-top-grey-1100-012095-0008,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/knitted_wool_short_sleeve_top_1100-012095-0008.jpg?ref=A173042F8E"
1-1100-011699-5086,Draped Cape Top,49.95,,White Dots,,,"Dotted / Black, Brown, Dotted / Blue, Light Beige, Yellow, Dotted, Light Pink",https://www.na-kd.com/en/products/draped-cape-top-white-dots-1100-011699-5086,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/draped_cape_top_1100-011699-5086_curated.jpg?ref=F98413DC99"
1-1100-012405-0002,Balloon Drawstring Trousers,49.95,,Black,,,Black,https://www.na-kd.com/en/products/balloon-drawstring-trousers-black-1100-012405-0002,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/baloon_drawstring_trousers_1100-012405-0002_0039.jpg?ref=25270007A4"
1-1100-010313-0002,Lace Maxi Skirt,39.95,,Black,,,"Black, Brown, Burgundy, White, Light Blue",https://www.na-kd.com/en/products/lace-maxi-skirt-black-1100-010313-0002,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/lace_maxi_skirt_1100-010313-00026869.jpg?ref=F5C6FE6F05"
1-1812-000987-0342,Contrast Detail Canvas Bag,59.95,,Cream,,,Light Beige,https://www.na-kd.com/en/products/contrast-detail-canvas-bag-beige-1812-000987-0342,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/lisaalexandra_1812-000987-0342_social_1.jpg?ref=84061B8FE4"
1-1018-010217-0017,Wide Low Waist Suit Pants,59.95,,Brown,,,"Brown, Grey, Black",https://www.na-kd.com/en/products/wide-low-waist-suit-pants-brown-1018-010217-0017,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/wide_low_waist_suit_pants-1018-010217-0017_0566.jpg?ref=1BDBAAE893"
1-1100-009997-0002,Leather Loafers,99.95,,Black,,,Black,https://www.na-kd.com/en/products/leather-loafers-black-1100-009997-0002,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/leather_loafers_1100-009997-00022624_flatlay.jpg?ref=FD7DE2CEDF"
1-1018-010256-0005,Relaxed Oversized-Fit Blazer,99.95,,Beige,,,Beige,https://www.na-kd.com/en/products/relaxed-oversized-fit-blazer-beige-1018-010256-0005,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/nataliemariejust_relaxed-oversized-fit-blazer-beige-1018-010256-0005_social.jpg?ref=0DFA84FBDE"
1-1100-011568-0017,Squared Toe Bow Ballerinas,49.95,,Brown,,,"Brown, Black, Offwhite, Khaki Green",https://www.na-kd.com/en/products/squared-toe-bow-ballerinas-brown-1100-011568-0017,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/squared_toe_bow_ballerinas-1100-011568-0017_0017.jpg?ref=64DD02BCBB"
1-1100-010445-8575,Cuff Detail Cotton Shirt,59.95,,Brown Check,,,"Checkered, Stripe / Pink, White",https://www.na-kd.com/en/products/cuff-detail-cotton-shirt-brown-check-1100-010445-8575,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/cuff_detail_cottom_shirt_1100-010445-8575_0025.jpg?ref=EA43314314"
1-1100-011376-0260,Knitted Crochet Maxi Dress,85.95,,Offwhite,,,"Offwhite, Brown, Stripe",https://www.na-kd.com/en/products/knitted-crochet-maxi-dress-offwhite-1100-011376-0260,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/knitted_crochet_maxi_dress_1100-011376-0260_curated.jpg?ref=A4F4A5659D"
1-1100-011695-0017,Ballet Wrap Top,35.95,,Brown,,,"Brown, Black, Light Grey, Offwhite, Light Pink",https://www.na-kd.com/en/products/ballet-wrap-top-brown-1100-011695-0017,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/ballet_wrap_top-1100-011695-0017_0038.jpg?ref=78D4C2A6DE"
1-1018-010207-0001,Loose Low Waist Long Jeans,59.95,,White,,,"White, Blue, Black, Dark Blue, Mid Blue, Light Grey, Dark Grey",https://www.na-kd.com/en/products/low-waist-loose-long-jeans-white-1018-010207-0001,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/victoriaxbel_1018-010207-0001_social.jpg?ref=A179EBF956"
1-1100-009617-1128,Folded Sleeve Knitted Sweater,39.95,,Mid Grey,,,"Grey, Black, Beige, Navy, Offwhite, Light Blue, Grey",https://www.na-kd.com/en/products/folded-sleeve-knitted-sweater-mid-grey-1100-009617-1128,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/folded_sleeve_knitted_sweater-1100-009617-1128_0013.jpg?ref=B097A69B5E"
1-1100-010919-0005,Tailored Belted Blazer Dress,75.95,,Beige,,,"Dark Beige, Stripe",https://www.na-kd.com/en/products/tailored-belted-blazer-dress-beige-1100-010919-0005,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/tailored_belted_blazer_dress_1100-010919-0005_1.jpg?ref=EC86FB4D6B"
1-1100-007568-0002,Tailored Maxi Skirt,59.95,,Black,,,Black,https://www.na-kd.com/en/products/tailored-maxi-skirt-black-1100-007568-0002,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/tailored_maxi_skirt_1100-007568-0002_12_curated.jpg?ref=47C8986F4F"
1-1100-008363-0002,Strappy Slingback Pumps,59.95,,Black,,,"Black, Brown",https://www.na-kd.com/en/products/strappy-slingback-pumps-black-1100-008363-0002,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/strappy_slingback_pumps-1100-008363-0002-1791_1.jpg?ref=D1BEACCB59"
1-1100-011749-0017,Wool Blend Scarf Detail Short Coat,149.95,,Brown,,,"Brown, Beige, Black",https://www.na-kd.com/en/products/wool-blend-scarf-detail-short-coat-brown-1100-011749-0017,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/wool_blend_scarf_detail_short_coat_1100-011749-0017_curated1.jpg?ref=24533BA4CE"
1-1100-011220-1478,Mid Waist Soft Denim,59.95,,Rinse Wash,,,"Blue, Dark Grey, Light Blue",https://www.na-kd.com/en/products/mid-waist-soft-denim-rinse-wash-1100-011220-1478,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/soft_denim-1100-011220-1478-overlap_handbag-1100-010841-0002-knitted_zip_sleeveless_top-1100-010903-0008_20856.jpg?ref=38BF747456"
1-1100-009862-0017,Faux Suede Zip Jacket,129.95,,Brown,,,"Brown, Brown",https://www.na-kd.com/en/products/faux-suede-zip-jacket-brown-1100-009862-0017,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/leathurau_1100-009862-0017_social.jpg?ref=50B9742576"
1-1100-010153-0002,Lace Sequin Trousers,49.95,,Black,,,"Black, White, Brown",https://www.na-kd.com/en/products/lace-sequin-trousers-black-1100-010153-0002,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/lace_sequin_trousers-1100-010153-0002-stone_detailed_velvet_bow-1100-010495-0002_4847.jpg?ref=925A9B2E07"
