product_id,name,color,price,available_colors,url,image_url
womens-elevation-racer-bra-bone-heather,Elevation Racer Bra,Bone Heather,$64,"Bone Heather, Black Heather, Midnight Heather, Bright Iris Heather, Raisin Heather",https://vuoriclothing.com/products/womens-elevation-racer-bra-bone-heather?queryId=1e7c34afc9ae7b91c272168e8ad1de91&collection=womens,https://cdn.shopify.com/s/files/1/0022/4008/6074/files/VW1199HBN_FA25_W_BRAS_FRONT_4.jpg?v=1755536761&width=800&height=1000&crop=center
womens-alpine-jacket-bone,Alpine Jacket,Bone,$168,"Bone, Black, Java",https://vuoriclothing.com/products/womens-alpine-jacket-bone?queryId=1e7c34afc9ae7b91c272168e8ad1de91&collection=womens,https://cdn.shopify.com/s/files/1/0022/4008/6074/files/VW5104BNE_FA25_W_ECOMM_OUTERWEAR_FRONT_2.jpg?v=1754697342&width=800&height=1000&crop=center
womens-energy-top-white,Energy Top,White,$54,"White, Heather Grey, Black, Bright Peach Heather, Surf, Bright Iris Heather, Huckleberry Heather, Spearmint Heather",https://vuoriclothing.com/products/womens-energy-top-white?queryId=1e7c34afc9ae7b91c272168e8ad1de91&collection=womens,https://cdn.shopify.com/s/files/1/0022/4008/6074/files/VW123WHT_SP25_W_ECOMM_TOPS_FRONT_3.jpg?v=1743440210&width=800&height=1000&crop=center
womens-restore-oversized-crew-2-0-magenta,Restore Oversized Crew 2.0,Magenta,$124,"Magenta, Light Mist, Pale Grey Heather, French Blue, Toffee",https://vuoriclothing.com/products/womens-restore-oversized-crew-2-0-magenta?queryId=1e7c34afc9ae7b91c272168e8ad1de91&collection=womens,https://cdn.shopify.com/s/files/1/0022/4008/6074/files/VW2063MAG_FA25_W_ECOMM_LAYERS_FRONT_2.jpg?v=1752852260&width=800&height=1000&crop=center
womens-daily-piped-legging-black,Daily Piped Legging,Black,$94,"Black, Viridian",https://vuoriclothing.com/products/womens-daily-piped-legging-black?queryId=1e7c34afc9ae7b91c272168e8ad1de91&collection=womens,https://cdn.shopify.com/s/files/1/0022/4008/6074/files/VW4193BLK_FA25_W_ECOMM_BOTTOMS_SIDE_4.jpg?v=1750288840&width=800&height=1000&crop=center
womens-pose-fitted-tee-white,Pose Fitted Tee,White,$58,"White, Black, Espresso, Sea Spray",https://vuoriclothing.com/products/womens-pose-fitted-tee-white?queryId=1e7c34afc9ae7b91c272168e8ad1de91&collection=womens,https://cdn.shopify.com/s/files/1/0022/4008/6074/files/VW169WHT_FA25_W_TOPS_FRONT_1.jpg?v=1751489078&width=800&height=1000&crop=center
womens-daily-legging-black,Daily Legging,Black,$89,"Black, Burnt Sienna, Light French Blue, Spearmint, Espresso Stripe",https://vuoriclothing.com/products/womens-daily-legging-black?queryId=1e7c34afc9ae7b91c272168e8ad1de91&collection=womens,https://cdn.shopify.com/s/files/1/0022/4008/6074/files/VW323BLK_FA24_W_ECOMM_PANTS_FRONT_2.jpg?v=1720548151&width=800&height=1000&crop=center
womens-halo-performance-short-2-0-nutmeg-heather,Halo Performance Short 2.0,Nutmeg Heather,$68,"Nutmeg Heather, Ecru Heather, Magenta Heather",https://vuoriclothing.com/products/womens-halo-performance-short-2-0-nutmeg-heather?queryId=1e7c34afc9ae7b91c272168e8ad1de91&collection=womens,https://cdn.shopify.com/s/files/1/0022/4008/6074/files/VW3062HNM_FA25_W_ECOMM_BOTTOMS_FRONT_2.jpg?v=1752844071&width=800&height=1000&crop=center
womens-canyon-insulated-vest-bone,Canyon Insulated Vest,Bone,$158,"Bone, Black, Bright Iris",https://vuoriclothing.com/products/womens-canyon-insulated-vest-bone?queryId=1e7c34afc9ae7b91c272168e8ad1de91&collection=womens,https://cdn.shopify.com/s/files/1/0022/4008/6074/files/VW533BNE_FA24_W_ECOMM_vests_CREATIVE_11.jpg?v=1723056884&width=800&height=1000&crop=center
womens-long-sleeve-halo-essential-scoop-chia-heather,Long Sleeve Halo Essential Scoop,Chia Heather,$68,"Chia Heather, Raisin, Solid Black, Vintage Rose Heather",https://vuoriclothing.com/products/womens-long-sleeve-halo-essential-scoop-chia-heather?queryId=4c5041afc4b4a2042481aa690ecc8f4b&collection=womens,https://cdn.shopify.com/s/files/1/0022/4008/6074/files/VW1263HHI_FA25_W_TOPS_BACK_4.jpg?v=1756163969&width=800&height=1000&crop=center
womens-villa-sport-short-light-french-blue,Villa Sport Short,Light French Blue,$68,"Light French Blue, Black",https://vuoriclothing.com/products/womens-villa-sport-short-light-french-blue?queryId=4c5041afc4b4a2042481aa690ecc8f4b&collection=womens,https://cdn.shopify.com/s/files/1/0022/4008/6074/files/VW3183LFB_FA25_W_ECOMM_BOTTOMS_FRONT_1.jpg?v=1752778274&width=800&height=1000&crop=center
womens-vuori-alltheform-pkt-legging-raisin,Vuori AllTheForm™ Pocket Legging,Raisin,$108,"Raisin, Black, Huckleberry",https://vuoriclothing.com/products/womens-vuori-alltheform-pkt-legging-raisin?queryId=4c5041afc4b4a2042481aa690ecc8f4b&collection=womens,https://cdn.shopify.com/s/files/1/0022/4008/6074/files/VW4156RSN_FA25_W_ECOMM_BOTTOMS_SIDE_5.jpg?v=1754934718&width=800&height=1000&crop=center
womens-daily-piped-short-5-viridian,"Daily Piped Short 5""",Viridian,$68,"Viridian, Black, Sunlight",https://vuoriclothing.com/products/womens-daily-piped-short-5-viridian?queryId=4c5041afc4b4a2042481aa690ecc8f4b&collection=womens,https://cdn.shopify.com/s/files/1/0022/4008/6074/files/VW3124VRI_FA25_W_ECOMM_BOTTOMS_FRONT_2.jpg?v=1750282730&width=800&height=1000&crop=center
womens-alpine-vest-bone,Alpine Vest,Bone,$128,"Bone, Black, Java",https://vuoriclothing.com/products/womens-alpine-vest-bone?queryId=4c5041afc4b4a2042481aa690ecc8f4b&collection=womens,https://cdn.shopify.com/s/files/1/0022/4008/6074/files/VW5070BNE_FA25_W_ECOMM_OUTERWEAR_DETAIL_11.jpg?v=1754698006&width=800&height=1000&crop=center
womens-long-sleeve-twist-top-black,Long Sleeve Twist Top,Black,$78,"Black, Light Heather Grey",https://vuoriclothing.com/products/womens-long-sleeve-twist-top-black?queryId=4c5041afc4b4a2042481aa690ecc8f4b&collection=womens,https://cdn.shopify.com/s/files/1/0022/4008/6074/files/VW1259BLK_FA25_W_ECOMM_TOPS_FRONT_2.jpg?v=1752767787&width=800&height=1000&crop=center
womens-restore-full-zip-hoodie-pale-grey-heather,Restore Full Zip Hoodie,Pale Grey Heather,$138,"Pale Grey Heather, Washed Black, Vintage Rose",https://vuoriclothing.com/products/womens-restore-full-zip-hoodie-pale-grey-heather?queryId=4c5041afc4b4a2042481aa690ecc8f4b&collection=womens,https://cdn.shopify.com/s/files/1/0022/4008/6074/files/VW2030PHG_SP25_W_ECOMM_LAYERS_CREATIVE_12.jpg?v=1736463325&width=800&height=1000&crop=center
womens-sedona-weekender-crew-viridian,Sedona Weekender Crew,Viridian,$108,"Viridian, Black, Bone, White",https://vuoriclothing.com/products/womens-sedona-weekender-crew-viridian?queryId=4c5041afc4b4a2042481aa690ecc8f4b&collection=womens,https://cdn.shopify.com/s/files/1/0022/4008/6074/files/VW298VRI_FA25_W_ECOMM_LAYERS_FRONT_2.jpg?v=1750268587&width=800&height=1000&crop=center
womens-vuori-alltheform-support-tank-raisin,Vuori AllTheForm™ Support Tank,Raisin,$74,"Raisin, Azure, Black, Marsh, Pinot, Spring, White, Black Blurred Torrent, Huckleberry",https://vuoriclothing.com/products/womens-vuori-alltheform-support-tank-raisin?queryId=4c5041afc4b4a2042481aa690ecc8f4b&collection=womens,https://cdn.shopify.com/s/files/1/0022/4008/6074/files/VW1207RSN_FA25_W_ECOMM_TOPS_CREATIVE_13.jpg?v=1754604664&width=800&height=1000&crop=center
